OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,LATITUDE,LONGITUDE,LAT,LGT,x,y
35,00676,MOCA,PR,18.394878231,-67.114230706,18.394878231,-67.114230706,-7471121.9871742,2083820.54129315
36,00677,RINCON,PR,18.337465351,-67.24620936,18.337465351,-67.24620936,-7485813.78373306,2077086.34323184
37,00678,QUEBRADILLAS,PR,18.469548813,-66.934982481,18.469548813,-66.934982481,-7451168.1660416,2092582.32685086
38,00680,MAYAGUEZ,PR,18.19004001,-67.136520184,18.19004001,-67.136520184,-7473603.24051521,2059804.42890737
39,00681,MAYAGUEZ,PR,18.202039537,-67.14503838,18.202039537,-67.14503838,-7474551.48175641,2061210.52383853
40,00682,MAYAGUEZ,PR,18.206316456,-67.171316063,18.206316456,-67.171316063,-7477476.70004719,2061711.71317422
41,00683,SAN GERMAN,PR,18.083460287,-67.039826842,18.083460287,-67.039826842,-7462839.38692067,2047319.74037762
42,00685,SAN SEBASTIAN,PR,18.331379564,-66.993055538,18.331379564,-66.993055538,-7457632.82917565,2076372.64691585
43,00687,MOROVIS,PR,18.338527267,-66.413030153,18.338527267,-66.413030153,-7393064.69867028,2077210.8795004
44,00688,SABANA HOYOS,PR,18.356933426,-66.623193861,18.356933426,-66.623193861,-7416460.01562806,2079369.58460591
45,00690,SAN ANTONIO,PR,18.488984961,-67.101315388,18.488984961,-67.101315388,-7469684.260551,2094863.57366735
46,00692,VEGA ALTA,PR,18.432710019,-66.327644115,18.432710019,-66.327644115,-7383559.56839926,2088259.21699993
47,00693,VEGA BAJA,PR,18.449480062,-66.401369033,18.449480062,-66.401369033,-7391766.5887298,2090227.10177796
48,00694,VEGA BAJA,PR,18.444368,-66.394796,18.444368,-66.394796,-7391034.88204328,2089627.20526667
49,00698,YAUCO,PR,18.026441131,-66.855729685,18.026441131,-66.855729685,-7442345.78514694,2040643.66474698
50,00703,AGUAS BUENAS,PR,18.255486676,-66.102392162,18.255486676,-66.102392162,-7358484.63569111,2067474.59390124
51,00704,AGUIRRE,PR,17.973753102,-66.240480038,17.973753102,-66.240480038,-7373856.50773216,2034476.62005595
52,00705,AIBONITO,PR,18.137862537,-66.267366521,18.137862537,-66.267366521,-7376849.49732894,2053691.43870222
53,00707,MAUNABO,PR,17.998756494,-65.898895998,17.998756494,-65.898895998,-7335831.54633625,2037402.99507582
54,00714,ARROYO,PR,17.976065791,-66.058097408,17.976065791,-66.058097408,-7353553.76623102,2034747.2777467
55,00715,MERCEDITA,PR,18.010742238,-66.566342012,18.010742238,-66.566342012,-7410131.29674673,2038805.9431027
56,00716,PONCE,PR,18.000752539,-66.606553584,18.000752539,-66.606553584,-7414607.62846577,2037636.62830359
57,00717,PONCE,PR,18.003463894,-66.613003173,18.003463894,-66.613003173,-7415325.59342907,2037953.99142719
58,00718,NAGUABO,PR,18.207915474,-65.728825285,18.207915474,-65.728825285,-7316899.36116624,2061899.09672875
59,00719,NARANJITO,PR,18.29962663,-66.244345348,18.29962663,-66.244345348,-7374286.79207312,2072649.30364404
60,00720,OROCOVIS,PR,18.190236349,-66.405543547,18.190236349,-66.405543547,-7392231.29350259,2059827.43497475
61,00721,PALMER,PR,18.3768,-65.8495,18.3768,-65.8495,-7330332.80899167,2081699.82786894
62,00723,PATILLAS,PR,18.046508264,-66.007593524,18.046508264,-66.007593524,-7347931.69958106,2042992.97376772
63,00725,CAGUAS,PR,18.234345948,-66.031412709,18.234345948,-66.031412709,-7350583.23912637,2064996.64463925
64,00726,CAGUAS,PR,18.226037016,-66.039912352,18.226037016,-66.039912352,-7351529.41505706,2064022.81969223
65,00727,CAGUAS,PR,18.232061601,-66.052275031,18.232061601,-66.052275031,-7352905.62218817,2064728.90955382
66,00728,PONCE,PR,18.0094205,-66.64983146,18.0094205,-66.64983146,-7419425.2995847,2038651.22714926
67,00729,CANOVANAS,PR,18.381997022,-65.896720291,18.381997022,-65.896720291,-7335589.34774089,2082309.45513634
68,00730,PONCE,PR,18.024586933,-66.613346396,18.024586933,-66.613346396,-7415363.80083866,2040426.60270778
69,00731,PONCE,PR,18.096448969,-66.637382601,18.096448969,-66.637382601,-7418039.49893986,2048840.8205576
70,00732,PONCE,PR,18.0244,-66.6204,18.0244,-66.6204,-7416149.0044442,2040404.71948767
71,00733,PONCE,PR,18.016422,-66.614179,18.016422,-66.614179,-7415456.48589197,2039470.80047333
72,00735,CEIBA,PR,18.266128344,-65.64947612,18.266128344,-65.64947612,-7308066.25252357,2068722.04032018
73,00736,CAYEY,PR,18.118545891,-66.147729017,18.118545891,-66.147729017,-7363531.51130388,2051428.80860836
74,00737,CAYEY,PR,18.1088,-66.1625,18.1088,-66.1625,-7365175.80960996,2050287.33114721
75,00738,FAJARDO,PR,18.332018464,-65.65436562,18.332018464,-65.65436562,-7308610.5491738,2076447.57122624
76,00739,CIDRA,PR,18.17188121,-66.146179004,18.17188121,-66.146179004,-7363358.964646,2057676.77929743
77,00740,PUERTO REAL,PR,18.329660726,-65.636367889,18.329660726,-65.636367889,-7306607.05092345,2076171.07879263
78,00741,PUNTA SANTIAGO,PR,18.161640811,-65.75602276,18.161640811,-65.75602276,-7319926.9702341,2056477.01894271
79,00744,RIO BLANCO,PR,18.2095,-65.7866,18.2095,-65.7866,-7323330.81302077,2062084.78371129
80,00745,RIO GRANDE,PR,18.377158172,-65.828923336,18.377158172,-65.828923336,-7328042.22523296,2081741.84199823
81,00751,SALINAS,PR,17.978638295,-66.280341427,17.978638295,-66.280341427,-7378293.85725795,2035048.34616664
82,00754,SAN LORENZO,PR,18.190954276,-65.969868339,18.190954276,-65.969868339,-7343732.15119678,2059911.55845629
83,00757,SANTA ISABEL,PR,17.969861813,-66.393277695,17.969861813,-66.393277695,-7390865.8651038,2034021.22428188
84,00765,VIEQUES,PR,18.145612106,-65.446120704,18.145612106,-65.446120704,-7285428.83116439,2054599.24456442
85,00766,VILLALBA,PR,18.12827088,-66.496020874,18.12827088,-66.496020874,-7402303.18347256,2052567.90127355
86,00767,YABUCOA,PR,18.059603348,-65.866928556,18.059603348,-65.866928556,-7332272.94697084,2044526.19226326
87,00769,COAMO,PR,18.073780698,-66.367129267,18.073780698,-66.367129267,-7387955.0354138,2046186.25509368
88,00771,LAS PIEDRAS,PR,18.188900733,-65.877084703,18.188900733,-65.877084703,-7333403.52408331,2059670.93437467
89,00772,LOIZA,PR,18.432075214,-65.869078411,18.432075214,-65.869078411,-7332512.26773473,2088184.72942469
90,00773,LUQUILLO,PR,18.373049255,-65.718050276,18.373049255,-65.718050276,-7315699.89265107,2081259.86492268
91,00777,JUNCOS,PR,18.228500617,-65.921348737,18.228500617,-65.921348737,-7338330.97380864,2064311.55425005
92,00778,GURABO,PR,18.250614579,-65.97675054,18.250614579,-65.97675054,-7344498.27430763,2066903.49841895
93,00780,COTO LAUREL,PR,18.050963917,-66.553539328,18.050963917,-66.553539328,-7408706.10848306,2043514.64447408
94,00782,COMERIO,PR,18.22139991,-66.227071299,18.22139991,-66.227071299,-7372363.8537345,2063479.36097764
95,00783,COROZAL,PR,18.3389527,-66.319850611,18.3389527,-66.319850611,-7382691.99950249,2077260.77239803
96,00784,GUAYAMA,PR,17.980905625,-66.115713535,17.980905625,-66.115713535,-7359967.56415014,2035313.70272835
97,00785,GUAYAMA,PR,17.9848,-66.1103,17.9848,-66.1103,-7359364.93219055,2035769.48816543
98,00791,HUMACAO,PR,18.128219946,-65.825388277,18.128219946,-65.825388277,-7327648.70426515,2052561.93518463
99,00792,HUMACAO,PR,18.150243,-65.822041,18.150243,-65.822041,-7327276.08709397,2055141.73945256
100,00794,BARRANQUITAS,PR,18.187417975,-66.311882754,18.187417975,-66.311882754,-7381805.02171853,2059497.19383733
101,00795,JUANA DIAZ,PR,18.038068014,-66.50821587,18.038068014,-66.50821587,-7403660.72421751,2042004.82012331
102,00801,ST THOMAS,VI,18.3388,-64.9133,18.3388,-64.9133,-7226115.501711,2077242.86440434
103,00802,ST THOMAS,VI,18.338575169,-64.91065676,18.338575169,-64.91065676,-7225821.25758015,2077216.49722862
104,00803,ST THOMAS,VI,18.3388,-64.9133,18.3388,-64.9133,-7226115.501711,2077242.86440434
105,00804,ST THOMAS,VI,18.3388,-64.9133,18.3388,-64.9133,-7226115.501711,2077242.86440434
106,00820,CHRISTIANSTED,VI,17.743487943,-64.713550072,17.743487943,-64.713550072,-7203879.44144005,2007545.97637313
107,00830,ST JOHN,VI,18.3356,-64.7506,18.3356,-64.7506,-7208003.82055894,2076867.58592312
108,00831,ST JOHN,VI,18.3169,-64.7783,18.3169,-64.7783,-7211087.37045391,2074674.69115025
109,00840,FREDERIKSTED,VI,17.714787706,-64.845364588,17.714787706,-64.845364588,-7218552.96624033,2004191.77879253
110,00850,KINGSHILL,VI,17.728622143,-64.796238115,17.728622143,-64.796238115,-7213084.2322815,2005808.54281377
111,00901,SAN JUAN,PR,18.464787217,-66.107039411,18.464787217,-66.107039411,-7359001.96508338,2092023.49135547
112,00902,SAN JUAN,PR,18.464976,-66.112205,18.464976,-66.112205,-7359576.99582051,2092045.6472115
113,00907,SAN JUAN,PR,18.453258991,-66.075316894,18.453258991,-66.075316894,-7355470.63064426,2090670.56764407
114,00908,SAN JUAN,PR,18.455494,-66.082523,18.455494,-66.082523,-7356272.81069479,2090932.85559896
115,00909,SAN JUAN,PR,18.44301253,-66.068346086,18.44301253,-66.068346086,-7354694.64384728,2089468.14490767
116,00910,SAN JUAN,PR,18.444244,-66.069513,18.444244,-66.069513,-7354824.54411956,2089612.6541846
117,00911,SAN JUAN,PR,18.448284514,-66.059617686,18.448284514,-66.059617686,-7353723.00280385,2090086.80354779
118,00912,SAN JUAN,PR,18.445441031,-66.060130368,18.445441031,-66.060130368,-7353780.07430302,2089753.12314196
119,00913,SAN JUAN,PR,18.451144641,-66.043242782,18.451144641,-66.043242782,-7351900.15682877,2090422.44268632
120,00914,SAN JUAN,PR,18.45104,-66.055292,18.45104,-66.055292,-7353241.46964099,2090410.1628481
121,00915,SAN JUAN,PR,18.437415935,-66.047652628,18.437415935,-66.047652628,-7352391.05863997,2088811.41447404
122,00916,SAN JUAN,PR,18.4396,-66.0535,18.4396,-66.0535,-7353041.98511349,2089067.70025355
123,00917,SAN JUAN,PR,18.421373123,-66.050268965,18.421373123,-66.050268965,-7352682.30794256,2086928.99493983
124,00918,SAN JUAN,PR,18.416446968,-66.063044531,18.416446968,-66.063044531,-7354104.47744427,2086351.00866687
125,00919,SAN JUAN,PR,18.427066,-66.069908,18.427066,-66.069908,-7354868.51531843,2087596.9614008
126,00920,SAN JUAN,PR,18.409528248,-66.089768832,18.409528248,-66.089768832,-7357079.4130234,2085539.26247572
127,00921,SAN JUAN,PR,18.392889752,-66.088966839,18.392889752,-66.088966839,-7356990.13557102,2083587.26675739
128,00922,SAN JUAN,PR,18.4116,-66.1026,18.4116,-66.1026,-7358507.77211144,2085782.32956252
129,00923,SAN JUAN,PR,18.410505005,-66.036896149,18.410505005,-66.036896149,-7351193.65287497,2085653.85955266
130,00924,SAN JUAN,PR,18.399749784,-66.01406626,18.399749784,-66.01406626,-7348652.24125661,2084392.04941077
131,00925,SAN JUAN,PR,18.402864039,-66.053150526,18.402864039,-66.053150526,-7353003.08184577,2084757.40790571
132,00926,SAN JUAN,PR,18.368178423,-66.056467659,18.368178423,-66.056467659,-7353372.34340222,2080688.52988163
133,00927,SAN JUAN,PR,18.392474705,-66.069099153,18.392474705,-66.069099153,-7354778.47488226,2083538.57666765
134,00928,SAN JUAN,PR,18.397653,-66.048371,18.397653,-66.048371,-7352471.02744521,2084146.06240661
135,00929,SAN JUAN,PR,18.397262,-66.010827,18.397262,-66.010827,-7348291.64848287,2084100.19205273
136,00931,SAN JUAN,PR,18.397654,-66.048357,18.397654,-66.048357,-7352469.46897234,2084146.17972222
137,00934,FORT BUCHANAN,PR,18.417506579,-66.113111842,18.417506579,-66.113111842,-7359677.94501018,2086475.33153755
138,00936,SAN JUAN,PR,18.417514069,-66.076112623,18.417514069,-66.076112623,-7355559.21079135,2086476.21033287
139,00937,SAN JUAN,PR,18.4428,-65.9965,18.4428,-65.9965,-7346696.77413828,2089443.2052603
140,00940,SAN JUAN,PR,18.4441,-66.0685,18.4441,-66.0685,-7354711.77747539,2089595.756167
141,00949,TOA BAJA,PR,18.435878573,-66.19493826,18.435878573,-66.19493826,-7368786.82019538,2088631.01702583
142,00950,TOA BAJA,PR,18.4113,-66.2113,18.4113,-66.2113,-7370608.20076067,2085747.13205754
143,00951,TOA BAJA,PR,18.4113,-66.2113,18.4113,-66.2113,-7370608.20076067,2085747.13205754
144,00952,SABANA SECA,PR,18.430213614,-66.183558005,18.430213614,-66.183558005,-7367519.97600368,2087966.29216712
145,00953,TOA ALTA,PR,18.385037126,-66.226007653,18.385037126,-66.226007653,-7372245.44920339,2082666.07755651
146,00954,TOA ALTA,PR,18.3869,-66.2488,18.3869,-66.2488,-7374782.68166542,2082884.60694947
147,00956,BAYAMON,PR,18.363453876,-66.161487023,18.363453876,-66.161487023,-7365063.04552613,2080134.36907189
148,00957,BAYAMON,PR,18.369783742,-66.181880336,18.369783742,-66.181880336,-7367333.21874488,2080876.82755177
149,00958,BAYAMON,PR,18.3802,-66.1722,18.3802,-66.1722,-7366255.60867065,2082098.65664225
150,00959,BAYAMON,PR,18.392004699,-66.153656031,18.392004699,-66.153656031,-7364191.30348429,2083483.43935659
151,00960,BAYAMON,PR,18.3891,-66.1559,18.3891,-66.1559,-7364441.10097072,2083142.68684677
152,00961,BAYAMON,PR,18.408185001,-66.162426003,18.408185001,-66.162426003,-7365167.5723016,2085381.66837348
153,00962,CATANO,PR,18.437152262,-66.132299383,18.437152262,-66.132299383,-7361813.89230388,2088780.47438797
154,00963,CATANO,PR,18.441279,-66.11905,18.441279,-66.11905,-7360338.97773499,2089264.72216475
155,00965,GUAYNABO,PR,18.431613534,-66.116022804,18.431613534,-66.116022804,-7360001.99181774,2088130.55638878
156,00966,GUAYNABO,PR,18.399080514,-66.11441568,18.399080514,-66.11441568,-7359823.08759242,2084313.53278508
157,00968,GUAYNABO,PR,18.405770589,-66.100336627,18.405770589,-66.100336627,-7358255.8145816,2085098.40480458
158,00969,GUAYNABO,PR,18.368267947,-66.107213741,18.368267947,-66.107213741,-7359021.37141021,2080699.03065224
159,00970,GUAYNABO,PR,18.357174,-66.114462,18.357174,-66.114462,-7359828.24391123,2079397.80104986
160,00971,GUAYNABO,PR,18.357492514,-66.106430838,18.357492514,-66.106430838,-7358934.21904691,2079435.15898122
161,00976,TRUJILLO ALTO,PR,18.363866394,-66.017020141,18.363866394,-66.017020141,-7348981.0657854,2080182.75433575
162,00977,TRUJILLO ALTO,PR,18.436731,-66.123439,18.436731,-66.123439,-7360827.55898008,2088731.042491
163,00979,CAROLINA,PR,18.438927551,-66.018509845,18.438927551,-66.018509845,-7349146.89887612,2088988.79240324
164,00981,CAROLINA,PR,18.4428,-65.9965,18.4428,-65.9965,-7346696.77413828,2089443.2052603
165,00982,CAROLINA,PR,18.409628672,-65.992861831,18.409628672,-65.992861831,-7346291.77501778,2085551.04459508
166,00983,CAROLINA,PR,18.4165979,-65.976115713,18.4165979,-65.976115713,-7344427.60568925,2086368.71728821
167,00984,CAROLINA,PR,18.41,-65.9754,18.41,-65.9754,-7344347.93288254,2085594.61024486
168,00985,CAROLINA,PR,18.397783528,-65.959474484,18.397783528,-65.959474484,-7342575.11255079,2084161.37538516
169,00986,CAROLINA,PR,18.379811,-65.956168,18.379811,-65.956168,-7342207.0364356,2082053.02554012
170,00987,CAROLINA,PR,18.37327467,-65.968133646,18.37327467,-65.968133646,-7343539.04605533,2081286.3058655
171,00988,CAROLINA,PR,18.3978,-65.9791,18.3978,-65.9791,-7344759.81499847,2084163.30780955
172,01001,AGAWAM,MA,42.070274935,-72.622395732,42.070274935,-72.622395732,-8084288.11307384,5171512.10819785
173,01002,AMHERST,MA,42.374873627,-72.510798781,42.374873627,-72.510798781,-8071865.19731444,5217300.15786526
174,01003,AMHERST,MA,42.385094275,-72.526067739,42.385094275,-72.526067739,-8073564.92994394,5218840.39261837
175,01004,AMHERST,MA,42.373313449,-72.526972236,42.373313449,-72.526972236,-8073665.6180894,5217065.06367426
176,01005,BARRE,MA,42.413410989,-72.111974755,42.413410989,-72.111974755,-8027468.30982399,5223108.9848418
177,01007,BELCHERTOWN,MA,42.273595434,-72.409057768,42.273595434,-72.409057768,-8060539.43955449,5202051.22808379
178,01008,BLANDFORD,MA,42.186773788,-72.945367876,42.186773788,-72.945367876,-8120241.20768433,5188998.44151314
179,01010,BRIMFIELD,MA,42.13330728,-72.202494225,42.13330728,-72.202494225,-8037544.89113127,5180969.19197103
180,01011,CHESTER,MA,42.293923206,-72.967189321,42.293923206,-72.967189321,-8122670.35983011,5205109.90675323
181,01012,CHESTERFIELD,MA,42.378454673,-72.840033982,42.378454673,-72.840033982,-8108515.49224098,5217839.78704463
182,01013,CHICOPEE,MA,42.162351473,-72.607864374,42.162351473,-72.607864374,-8082670.48970075,5185330.01666224
183,01014,CHICOPEE,MA,42.145695,-72.608228,42.145695,-72.608228,-8082710.9683619,5182828.89482431
184,01020,CHICOPEE,MA,42.1757725,-72.575985011,42.1757725,-72.575985011,-8079121.69524477,5187345.78571662
185,01021,CHICOPEE,MA,42.15852,-72.585325,42.15852,-72.585325,-8080161.41806426,5184754.62763479
186,01022,CHICOPEE,MA,42.19509398,-72.558936737,42.19509398,-72.558936737,-8077223.89006419,5190248.52376891
187,01026,CUMMINGTON,MA,42.467389904,-72.919570535,42.467389904,-72.919570535,-8117369.46082039,5231251.35784579
188,01027,EASTHAMPTON,MA,42.268547301,-72.677164773,42.268547301,-72.677164773,-8090384.9748292,5201291.79866849
189,01028,EAST LONGMEADOW,MA,42.064168083,-72.506626874,42.064168083,-72.506626874,-8071400.78275156,5170596.3633728
190,01030,FEEDING HILLS,MA,42.07057072,-72.674081917,42.07057072,-72.674081917,-8090041.79286909,5171556.46447877
191,01031,GILBERTVILLE,MA,42.329299709,-72.182769894,42.329299709,-72.182769894,-8035349.18864812,5210435.29249093
192,01032,GOSHEN,MA,42.453466299,-72.82149931,42.453466299,-72.82149931,-8106452.22199192,5229150.39989206
193,01033,GRANBY,MA,42.253560232,-72.525698729,42.253560232,-72.525698729,-8073523.85193864,5199037.53700518
194,01034,GRANVILLE,MA,42.068522254,-72.934141492,42.068522254,-72.934141492,-8118991.492334,5171249.27824903
195,01035,HADLEY,MA,42.356355969,-72.572935981,42.356355969,-72.572935981,-8078782.27877776,5214510.21576835
196,01036,HAMPDEN,MA,42.065813546,-72.427045342,42.065813546,-72.427045342,-8062541.80713277,5170843.09790661
197,01038,HATFIELD,MA,42.376239033,-72.605400453,42.376239033,-72.605400453,-8082396.20726967,5217505.90778339
198,01039,HAYDENVILLE,MA,42.391581172,-72.690545476,42.391581172,-72.690545476,-8091874.50787361,5219818.08735168
199,01040,HOLYOKE,MA,42.202484559,-72.626168507,42.202484559,-72.626168507,-8084708.09646572,5191359.07266846
200,01041,HOLYOKE,MA,42.202030122,-72.614697423,42.202030122,-72.614697423,-8083431.14123599,5191290.78272671
201,01050,HUNTINGTON,MA,42.267572077,-72.865437839,42.267572077,-72.865437839,-8111343.43666641,5201145.09524228
202,01053,LEEDS,MA,42.35229763,-72.698668519,42.35229763,-72.698668519,-8092778.76088406,5213898.88053146
203,01054,LEVERETT,MA,42.468779322,-72.497009207,42.468779322,-72.497009207,-8070330.1489585,5231461.03528206
204,01056,LUDLOW,MA,42.173375343,-72.469938776,42.173375343,-72.469938776,-8067316.68236403,5186985.71372074
205,01057,MONSON,MA,42.097930537,-72.321319494,42.097930537,-72.321319494,-8050772.45956973,5175660.27035298
206,01060,NORTHAMPTON,MA,42.324184475,-72.636430051,42.324184475,-72.636430051,-8085850.40631855,5209665.08792895
207,01061,NORTHAMPTON,MA,42.321612,-72.627163,42.321612,-72.627163,-8084818.80292007,5209277.77213331
208,01062,FLORENCE,MA,42.325838836,-72.677840747,42.325838836,-72.677840747,-8090460.22391066,5209914.17943487
209,01068,OAKHAM,MA,42.348979697,-72.05266398,42.348979697,-72.05266398,-8020865.86455244,5213399.10701954
210,01069,PALMER,MA,42.17003683,-72.324353807,42.17003683,-72.324353807,-8051110.23774779,5186484.26532418
211,01070,PLAINFIELD,MA,42.516928906,-72.920993698,42.516928906,-72.920993698,-8117527.88660087,5238730.17930404
212,01071,RUSSELL,MA,42.161649758,-72.857232337,42.161649758,-72.857232337,-8110430.00436206,5185224.63445103
213,01072,SHUTESBURY,MA,42.468744934,-72.428015628,42.468744934,-72.428015628,-8062649.81887622,5231455.84572375
214,01073,SOUTHAMPTON,MA,42.225746693,-72.717547067,42.225746693,-72.717547067,-8094880.31123434,5194855.41657994
215,01075,SOUTH HADLEY,MA,42.237604378,-72.583136269,42.237604378,-72.583136269,-8079917.76964386,5196638.14538208
216,01077,SOUTHWICK,MA,42.053672489,-72.769547254,42.053672489,-72.769547254,-8100668.94557234,5169022.71636298
217,01080,THREE RIVERS,MA,42.181195383,-72.362651596,42.181195383,-72.362651596,-8055373.52811778,5188160.39612271
218,01081,WALES,MA,42.059810392,-72.225580209,42.059810392,-72.225580209,-8040114.81111462,5169942.96549673
219,01082,WARE,MA,42.264579363,-72.257592337,42.264579363,-72.257592337,-8043678.38490278,5200694.91397061
220,01084,WEST CHESTERFIELD,MA,42.377667612,-72.881650469,42.377667612,-72.881650469,-8113148.21838242,5217721.1818857
221,01085,WESTFIELD,MA,42.128523472,-72.749353518,42.128523472,-72.749353518,-8098420.9891636,5180251.12154623
222,01088,WEST HATFIELD,MA,42.387191267,-72.637444061,42.387191267,-72.637444061,-8085963.28539541,5219156.43684508
223,01089,WEST SPRINGFIELD,MA,42.115740537,-72.638990235,42.115740537,-72.638990235,-8086135.40469776,5178332.61330598
224,01090,WEST SPRINGFIELD,MA,42.106201,-72.621969,42.106201,-72.621969,-8084240.6094849,5176901.13787957
225,01095,WILBRAHAM,MA,42.130919784,-72.443856879,42.130919784,-72.443856879,-8064413.25887106,5180610.81163974
226,01096,WILLIAMSBURG,MA,42.411740104,-72.76759718,42.411740104,-72.76759718,-8100451.86432764,5222857.05443098
227,01098,WORTHINGTON,MA,42.397840854,-72.936515246,42.397840854,-72.936515246,-8119255.73742055,5220761.63240763
228,01101,SPRINGFIELD,MA,42.106324,-72.597415,42.106324,-72.597415,-8081507.27070796,5176919.59353418
229,01103,SPRINGFIELD,MA,42.103522208,-72.588308434,42.103522208,-72.588308434,-8080493.53241796,5176499.20481037
230,01104,SPRINGFIELD,MA,42.128674347,-72.577797897,42.128674347,-72.577797897,-8079323.50479116,5180273.76771294
231,01105,SPRINGFIELD,MA,42.101359561,-72.578245433,42.101359561,-72.578245433,-8079373.32427079,5176174.72789723
232,01106,LONGMEADOW,MA,42.051525064,-72.566387185,42.051525064,-72.566387185,-8078053.27014173,5168700.77626411
233,01107,SPRINGFIELD,MA,42.118835025,-72.606587369,42.118835025,-72.606587369,-8082528.3341544,5178797.00953897
234,01108,SPRINGFIELD,MA,42.08538429,-72.558380855,42.08538429,-72.558380855,-8077162.009563,5173778.19003748
235,01109,SPRINGFIELD,MA,42.116489636,-72.551750145,42.116489636,-72.551750145,-8076423.88230221,5178445.03006647
236,01116,LONGMEADOW,MA,42.0447,-72.553,42.0447,-72.553,-8076563.01552437,5167677.6408329
237,01118,SPRINGFIELD,MA,42.093035718,-72.527908156,42.093035718,-72.527908156,-8073769.80422723,5174925.94732014
238,01119,SPRINGFIELD,MA,42.127260931,-72.510983907,42.127260931,-72.510983907,-8071885.80544649,5180061.61768551
